model,converter,accuracy
mistral,none,0.5284210526315789
mistral,phonate,0.44
mistral,llm,0.4726315789473684
mistral,multivalue,0.46
mistral,phonate+multivalue,0.5059649122807017
qwen2.5,none,0.7252631578947368
qwen2.5,phonate,0.6073684210526316
qwen2.5,llm,0.6259649122807017
qwen2.5,multivalue,0.6666666666666666
qwen2.5,phonate+multivalue,0.639298245614035
llama3.2,none,0.5729824561403509
llama3.2,phonate,0.4456140350877193
llama3.2,llm,0.4817543859649122
llama3.2,multivalue,0.5470175438596491
llama3.2,phonate+multivalue,0.4817543859649122
llama3.1,none,0.6568421052631579
llama3.1,phonate,0.4417543859649123
llama3.1,llm,0.5298245614035088
llama3.1,multivalue,0.6217543859649123
llama3.1,phonate+multivalue,0.4929824561403508
gpt4,none,0.8259649122807018
gpt4,phonate,0.7785964912280702
gpt4,llm,0.7228070175438597
gpt4,multivalue,0.8270175438596491
gpt4,phonate+multivalue,0.8031578947368421
gpt3.5,none,0.6761403508771929
gpt3.5,phonate,0.5898245614035088
gpt3.5,llm,0.6024561403508772
gpt3.5,multivalue,0.6729824561403509
gpt3.5,phonate+multivalue,0.5940350877192982
gemma2,none,0.7098245614035088
gemma2,phonate,0.6140350877192983
gemma2,llm,0.596140350877193
gemma2,multivalue,0.627719298245614
gemma2,phonate+multivalue,0.6291228070175439
llama3.1 uncensored,llm,0.515438596491228
llama3.1 uncensored,none,0.652739
